time_s,flux_Wb,emf_V,current_A,power_W,cumulative_energy_J
0.0,0.28,0.0,0.0,0.0,0.0
0.0001,0.27986184,2.763035,0.230253,0.636197,2.8e-05
0.0002,0.27944748,5.523343,0.460279,2.542276,0.00019584
0.0003,0.27875735,8.2782,0.68985,5.710716,0.00063012
0.0004,0.27779212,11.024887,0.918741,10.129011,0.00145635
0.0005,0.27655274,13.760694,1.146725,15.779726,0.00279852
0.0006,0.27504043,16.482921,1.373577,22.640558,0.00477856
0.0007,0.27325669,19.188882,1.599073,30.684432,0.00751591
0.0008,0.27120329,21.875905,1.822992,39.879602,0.01112699
0.0009,0.26888223,24.541339,2.045112,50.189779,0.0157248
0.001,0.26629582,27.182555,2.265213,61.574273,0.02141842
0.0011,0.26344662,29.796944,2.483079,73.988155,0.02831264
0.0012,0.26033742,32.381927,2.698494,87.382433,0.03650747
0.0013,0.2569713,34.934953,2.911246,101.704246,0.04609783
0.0014,0.25335157,37.453503,3.121125,116.897072,0.05717309
0.0015,0.24948183,39.93509,3.327924,132.900952,0.06981679
0.0016,0.24536587,42.377266,3.531439,149.652726,0.08410627
0.0017,0.24100777,44.777622,3.731468,167.086283,0.10011237
0.0018,0.23641182,47.133787,3.927816,185.13282,0.11789917
0.0019,0.23158256,49.443436,4.120286,203.721116,0.1375237
0.002,0.22652476,51.704291,4.308691,222.777811,0.15903577
0.0021,0.2212434,53.91412,4.492843,242.227697,0.1824777
0.0022,0.21574371,56.070743,4.672562,261.994015,0.20788423
0.0023,0.2100311,58.17203,4.847669,281.998756,0.23528232
0.0024,0.20411122,60.215908,5.017992,302.162969,0.26469109
0.0025,0.1979899,62.200361,5.183363,322.407077,0.29612172
0.0026,0.19167319,64.12343,5.343619,342.651185,0.32957739
0.0027,0.18516732,65.983216,5.498601,362.815399,0.36505332
0.0028,0.17847872,67.777885,5.648157,382.820139,0.40253674
0.0029,0.17161398,69.505665,5.792139,402.586457,0.44200695
0.003,0.16457987,71.164852,5.930404,422.036343,0.48343543
0.0031,0.15738335,72.753807,6.062817,441.093038,0.52678591
0.0032,0.1500315,74.270963,6.189247,459.681334,0.57201456
0.0033,0.1425316,75.714823,6.309569,477.727871,0.61907011
0.0034,0.13489103,77.083962,6.423663,495.161428,0.66789409
0.0035,0.12711734,78.377027,6.531419,511.913202,0.71842106
0.0036,0.1192182,79.592745,6.632729,527.917083,0.77057886
0.0037,0.11120141,80.729913,6.727493,543.109909,0.82428887
0.0038,0.10307487,81.787411,6.815618,557.431722,0.87946637
0.0039,0.09484662,82.764195,6.897016,570.826,0.93602083
0.004,0.08652476,83.659301,6.971608,583.239882,0.99385631
0.0041,0.07811751,84.471844,7.03932,594.624376,1.05287179
0.0042,0.06963317,85.201025,7.100085,604.934552,1.1129616
0.0043,0.06108011,85.846122,7.153844,614.129722,1.17401584
0.0044,0.05246677,86.406499,7.200542,622.173596,1.23592079
0.0045,0.04380165,86.881604,7.240134,629.034429,1.29855938
0.0046,0.03509331,87.270967,7.272581,634.685143,1.36181164
0.0047,0.02635033,87.574204,7.29785,639.103438,1.42555519
0.0048,0.01758135,87.791016,7.315918,642.271878,1.48966569
0.0049,0.00879501,87.921189,7.326766,644.177957,1.55401738
0.005,0.0,87.964594,7.330383,644.814154,1.61848353
0.0051,-0.00879501,87.921189,7.326766,644.177957,1.68293695
0.0052,-0.01758135,87.791016,7.315918,642.271878,1.74725051
0.0053,-0.02635033,87.574204,7.29785,639.103438,1.81129765
0.0054,-0.03509331,87.270967,7.272581,634.685143,1.87495283
0.0055,-0.04380165,86.881604,7.240134,629.034429,1.93809208
0.0056,-0.05246677,86.406499,7.200542,622.173596,2.00059346
0.0057,-0.06108011,85.846122,7.153844,614.129722,2.06233753
0.0058,-0.06963317,85.201025,7.100085,604.934552,2.12320786
0.0059,-0.07811751,84.471844,7.03932,594.624376,2.18309147
0.006,-0.08652476,83.659301,6.971608,583.239882,2.24187926
0.0061,-0.09484662,82.764195,6.897016,570.826,2.29946646
0.0062,-0.10307487,81.787411,6.815618,557.431722,2.35575304
0.0063,-0.11120141,80.729913,6.727493,543.109909,2.4106441
0.0064,-0.1192182,79.592745,6.632729,527.917083,2.46405026
0.0065,-0.12711734,78.377027,6.531419,511.913202,2.51588797
0.0066,-0.13489103,77.083962,6.423663,495.161428,2.56607991
0.0067,-0.1425316,75.714823,6.309569,477.727871,2.61455522
0.0068,-0.1500315,74.270963,6.189247,459.681334,2.66124984
0.0069,-0.15738335,72.753807,6.062817,441.093038,2.70610672
0.007,-0.16457987,71.164852,5.930404,422.036343,2.74907607
0.0071,-0.17161398,69.505665,5.792139,402.586457,2.79011555
0.0072,-0.17847872,67.777885,5.648157,382.820139,2.82919044
0.0073,-0.18516732,65.983216,5.498601,362.815399,2.86627376
0.0074,-0.19167319,64.12343,5.343619,342.651185,2.9013464
0.0075,-0.1979899,62.200361,5.183363,322.407077,2.9343972
0.0076,-0.20411122,60.215908,5.017992,302.162969,2.96542294
0.0077,-0.2100311,58.17203,4.847669,281.998756,2.99442842
0.0078,-0.21574371,56.070743,4.672562,261.994015,3.02142642
0.0079,-0.2212434,53.91412,4.492843,242.227697,3.04643762
0.008,-0.22652476,51.704291,4.308691,222.777811,3.06949056
0.0081,-0.23158256,49.443436,4.120286,203.721116,3.09062149
0.0082,-0.23641182,47.133787,3.927816,185.13282,3.10987426
0.0083,-0.24100777,44.777622,3.731468,167.086283,3.12730013
0.0084,-0.24536587,42.377266,3.531439,149.652726,3.14295756
0.0085,-0.24948183,39.93509,3.327924,132.900952,3.156912
0.0086,-0.25335157,37.453503,3.121125,116.897072,3.16923563
0.0087,-0.2569713,34.934953,2.911246,101.704246,3.18000703
0.0088,-0.26033742,32.381927,2.698494,87.382433,3.18931095
0.0089,-0.26344662,29.796944,2.483079,73.988155,3.1972379
0.009,-0.26629582,27.182555,2.265213,61.574273,3.20388383
